student_id,date,week_num,is_weekend,is_deadline_week,sleep_hours,focus_minutes,activity_steps,stress_level,mood_score,caffeine_drinks,social_hours,goal_completion_rate,burnout_score,sleep_debt,stress_mood_ratio,productivity_index
STU_0095,2023-12-20,16,0,1,4.4,50.9,2689.0,6.8,3.5,2.4,1.15,0.3495706367291399,0.513,3.5999999999999996,1.8888888888888888,0.18487416666666667
STU_0397,2023-11-10,11,0,0,7.98,104.5,5223.0,4.5,6.0,2.5,0.48,0.5005218103843097,0.36,0.019999999999999574,0.7377049180327869,0.34349416666666666
STU_0230,2023-11-25,13,1,0,6.61,9.6,9906.0,5.9,1.9,3.0,3.02,0.4695984174684317,0.304,1.3899999999999997,2.95,0.26508
STU_0371,2023-12-29,18,0,0,7.24,89.8,5447.0,3.6,6.5,3.7,1.35,0.5109999849274214,0.217,0.7599999999999998,0.5454545454545455,0.3581683333333333
STU_0311,2023-09-29,5,0,0,6.36,84.0,5182.0,2.3,4.9,1.6,1.69,0.7153807960464014,0.223,1.6399999999999997,0.45999999999999996,0.3875933333333333
STU_0285,2023-09-18,3,0,1,5.81,76.6,9512.0,4.9,5.9,4.0,0.95,0.5379082352116689,0.307,2.1900000000000004,0.8166666666666668,0.3596183333333334
STU_0356,2023-11-11,11,1,0,5.5,15.8,9402.0,9.7,1.0,4.2,0.8200000000000001,0.4527028219737215,0.536,2.5,8.818181818181817,0.15081833333333333
STU_0014,2023-11-10,11,0,0,5.8,66.5,5542.0,6.1,1.0,2.4,0.75,0.4080195707004816,0.342,2.2,5.545454545454545,0.26016416666666664
STU_0101,2023-11-05,10,1,0,6.15,18.5,7065.0,3.5,5.6,1.3,1.41,0.5930667096946978,0.273,1.8499999999999996,0.6140350877192983,0.30847083333333336
STU_0228,2023-09-19,3,0,1,4.64,29.1,4727.0,9.7,1.0,4.4,0.0,0.3598639505205153,0.595,3.3600000000000003,8.818181818181817,0.10233916666666668
STU_0149,2023-12-05,14,0,1,4.82,68.4,3006.0,7.7,1.0,4.2,0.0,0.4168324001191017,0.525,3.1799999999999997,7.0,0.18033
STU_0405,2023-11-29,13,0,0,6.16,33.5,5200.0,9.6,1.0,4.4,1.02,0.3525183337592363,0.57,1.8399999999999999,8.727272727272727,0.11622916666666669
STU_0293,2023-09-27,4,0,0,6.03,26.5,9391.0,5.5,4.7,3.1,2.04,0.3291443334826737,0.366,1.9699999999999998,1.1458333333333335,0.28781749999999995
STU_0343,2023-12-07,14,0,1,4.71,39.3,7268.0,8.1,2.0,2.6,0.45,0.3879173129113041,0.503,3.29,3.8571428571428568,0.19484416666666668
STU_0003,2023-12-26,17,0,0,8.74,101.8,9123.0,1.7,6.4,2.2,2.84,0.6323806341637048,0.141,-0.7400000000000002,0.26153846153846155,0.47668166666666667
STU_0216,2023-09-21,3,0,1,6.61,71.0,5767.0,6.0,4.2,4.1,3.07,0.3841754081951135,0.318,1.3899999999999997,1.3953488372093024,0.27085166666666666
STU_0176,2023-10-29,9,1,0,6.74,44.3,4443.0,6.2,3.7,3.2,0.25,0.4438136267352294,0.323,1.2599999999999998,1.631578947368421,0.21938583333333334
STU_0354,2023-12-09,15,1,1,4.78,480.0,10547.0,6.5,5.6,4.6,0.65,0.4583084361250554,0.429,3.2199999999999998,1.1403508771929827,0.7456266666666667
STU_0434,2023-09-14,2,0,0,5.53,62.1,6987.0,5.0,5.0,2.8,0.0,0.626356646675303,0.334,2.4699999999999998,0.9803921568627452,0.3078475
STU_0118,2023-12-18,16,0,1,5.26,23.4,3061.0,8.1,1.6,4.8,0.0,0.5726720223780506,0.439,2.74,4.76470588235294,0.12218833333333334
STU_0380,2023-09-05,1,0,0,4.61,70.30000000000001,9355.0,5.3,1.0,2.7,0.63,0.4858168198284525,0.564,3.3899999999999997,4.8181818181818175,0.33896250000000006
STU_0039,2023-09-09,2,1,0,6.04,40.7,6366.0,6.4,1.0,4.2,1.54,0.4504955169395752,0.4,1.96,5.818181818181818,0.23527583333333335
STU_0420,2023-11-18,12,1,1,3.86,15.0,5877.0,8.2,1.0,5.2,2.21,0.2553912056174482,0.538,4.140000000000001,7.454545454545453,0.147985
STU_0162,2023-09-11,2,0,0,6.23,30.3,6357.0,6.6,1.0,2.0,0.83,0.252824653635577,0.4,1.7699999999999996,5.999999999999999,0.21832250000000003
STU_0114,2023-11-21,12,0,1,6.76,117.9,3145.0,4.2,6.3,4.0,1.52,0.6790528834767733,0.352,1.2400000000000002,0.6562500000000001,0.3387458333333333
STU_0407,2023-10-15,7,1,1,4.59,33.0,12027.0,9.4,1.0,2.6,1.84,0.3581446569978521,0.533,3.41,8.545454545454545,0.21273499999999998
STU_0001,2023-09-20,3,0,1,3.24,86.1,5648.0,10.0,1.0,4.2,0.97,0.3068874681071417,0.756,4.76,9.09090909090909,0.16499416666666666
STU_0355,2023-12-17,16,1,1,3.08,84.2,7994.0,9.8,1.0,3.3,0.72,0.5774398059445485,0.69,4.92,8.909090909090908,0.20029499999999997
STU_0213,2023-11-19,12,1,1,5.29,4.5,10613.0,7.5,1.0,5.5,1.085,0.2250789550470653,0.397,2.71,6.8181818181818175,0.2211941666666667
STU_0168,2023-11-04,10,1,0,5.55,4.7,7013.0,9.0,1.0,4.3,0.0,0.2009122439061477,0.504,2.45,8.181818181818182,0.1284025
STU_0321,2023-10-09,6,0,0,7.74,68.4,7812.0,4.7,5.0,3.0,0.81,0.4850969002808413,0.289,0.2599999999999998,0.9215686274509804,0.33441
STU_0252,2023-10-19,7,0,1,4.2,92.8,7461.0,10.0,1.0,4.9,0.55,0.280021073265111,0.628,3.8,9.09090909090909,0.1961466666666667
STU_0253,2023-10-09,6,0,0,7.39,50.8,6750.0,7.3,2.6,3.0,0.54,0.272350986588161,0.341,0.6100000000000003,2.7037037037037033,0.22391666666666665
STU_0120,2023-11-05,10,1,0,5.06,0.0,13124.0,9.4,1.0,2.1,1.17,0.3531159273502127,0.515,2.9400000000000004,8.545454545454545,0.19298666666666667
STU_0027,2023-10-08,6,1,0,6.85,36.4,9647.0,6.5,3.5,3.0,0.0,0.3172863865442112,0.353,1.1500000000000004,1.8055555555555556,0.2715433333333333
STU_0186,2023-11-21,12,0,1,4.25,56.0,2946.0,7.4,4.1,3.3,1.26,0.3789995485370833,0.613,3.75,1.7619047619047623,0.17561333333333334
STU_0229,2023-12-27,17,0,0,5.77,38.3,6718.0,4.9,6.5,3.5,0.94,0.3841444612470795,0.202,2.2300000000000004,0.7424242424242425,0.28246916666666666
STU_0288,2023-10-15,7,1,1,4.44,54.3,6350.0,7.9,1.7,3.2,0.23,0.5631942768600827,0.509,3.5599999999999996,4.388888888888889,0.20422916666666663
STU_0018,2023-09-16,3,1,1,5.46,37.6,10344.0,7.5,3.9,4.4,0.51,0.2771110319399048,0.403,2.54,1.875,0.2520866666666667
STU_0411,2023-09-20,3,0,1,4.28,87.6,6746.0,5.5,1.8,3.6,1.7,0.5894288067093523,0.495,3.7199999999999998,2.894736842105263,0.3161966666666667
STU_0261,2023-11-10,11,0,0,5.82,49.7,5013.0,7.2,1.0,2.8,0.0,0.4881815516568206,0.47,2.1799999999999997,6.545454545454545,0.20261083333333335
STU_0161,2023-09-10,2,1,0,6.66,43.5,2042.0,4.6,2.4,2.1,1.9,0.4417883719872861,0.262,1.3399999999999999,1.8399999999999999,0.2345391666666667
STU_0395,2023-11-15,11,0,0,7.55,51.1,4586.0,7.3,3.55,3.1,0.905,0.385204055190864,0.43,0.4500000000000002,2.0,0.19537583333333336
STU_0385,2023-11-06,10,0,0,6.7,128.4,7340.0,4.5,5.8,2.1,0.42,0.7899880446794424,0.403,1.2999999999999998,0.7627118644067797,0.39661666666666673
STU_0095,2023-10-23,8,0,1,4.87,64.8,6080.0,7.1,1.0,3.7,1.06,0.4142104507669401,0.436,3.13,6.454545454545454,0.2355666666666667
STU_0305,2023-10-16,7,0,1,4.08,68.6,6776.0,5.1,3.5,3.3,1.23,0.4407010661255659,0.483,3.92,1.4166666666666665,0.308805
STU_0145,2023-12-19,16,0,1,4.55,84.6,6219.5,8.1,2.1,4.7,0.14,0.5439643735215204,0.519,3.45,3.681818181818181,0.22805166666666668
STU_0244,2023-11-02,9,0,0,8.04,59.5,8834.0,4.6,5.0,3.5,0.96,0.6372278253222486,0.287,-0.03999999999999915,0.9019607843137255,0.3417658333333333
STU_0445,2023-12-07,14,0,1,5.39,69.1,5198.0,6.8,5.0,4.6,1.7,0.4036796905469119,0.475,2.6100000000000003,1.3333333333333335,0.23728583333333336
STU_0308,2023-10-21,8,1,1,3.82,20.0,6818.0,10.0,1.0,4.7,2.12,0.4127482302886677,0.621,4.18,9.09090909090909,0.11174
STU_0195,2023-11-22,12,0,1,3.99,29.6,5829.0,8.9,1.0,4.7,0.965,0.3171481306031073,0.577,4.01,8.09090909090909,0.14155333333333334
STU_0403,2023-12-04,14,0,1,4.26,69.25,7726.0,10.0,1.0,3.9,0.905,0.4473813826691014,0.719,3.74,9.09090909090909,0.17514875000000002
STU_0435,2023-11-15,11,0,0,4.35,49.1,7267.0,7.1,1.0,3.4,1.04,0.4548050511141385,0.532,3.6500000000000004,6.454545454545454,0.2350391666666667
STU_0252,2023-12-03,14,1,1,2.44,45.0,11859.0,6.8,1.4,3.8,1.82,0.2963461002148421,0.643,5.5600000000000005,4.533333333333333,0.300995
STU_0291,2023-11-04,10,1,0,4.7,26.7,5536.0,7.0,1.0,3.4,0.74,0.3960340875140183,0.369,3.3,6.363636363636363,0.19162583333333333
STU_0102,2023-10-03,5,0,0,5.17,57.8,7097.0,7.1,1.2,2.5,0.46,0.3010952145723116,0.393,2.83,5.461538461538461,0.24183500000000002
STU_0137,2023-09-10,2,1,0,4.31,13.7,8375.0,4.7,4.5,3.3,0.34,0.4493213354517976,0.411,3.6900000000000004,1.0217391304347827,0.2849375
STU_0466,2023-10-01,5,1,0,7.7,30.2,8532.0,3.7,4.9,3.0,1.065,0.3566531745156507,0.184,0.2999999999999998,0.74,0.33421833333333334
STU_0317,2023-09-30,5,1,0,6.66,52.7,9668.0,5.5,4.6,2.6,1.79,0.4737844391601843,0.287,1.3399999999999999,1.170212765957447,0.3188025
STU_0417,2023-12-05,14,0,1,5.09,60.3,2365.0,7.3,3.8,2.8,0.58,0.3688947400776105,0.405,2.91,1.8717948717948718,0.1753458333333333
STU_0201,2023-10-22,8,1,1,4.95,0.0,5401.0,9.6,1.0,2.3,1.7,0.3543085028131678,0.539,3.05,8.727272727272727,0.08401333333333334
STU_0221,2023-09-10,2,1,0,3.45,39.6,7886.0,8.6,1.0,4.1,0.25,0.4656993475058954,0.647,4.55,7.8181818181818175,0.18839666666666668
STU_0348,2023-12-23,17,1,0,7.53,6.0,7109.0,4.4,2.4,3.3,0.5,0.499906783804517,0.221,0.46999999999999975,1.7600000000000002,0.26903666666666665
STU_0081,2023-10-11,6,0,0,5.96,54.0,5634.0,3.7,6.7,3.4,0.66,0.5197424730151681,0.287,2.04,0.5441176470588236,0.32037000000000004
STU_0278,2023-10-09,6,0,0,5.29,14.7,8668.0,7.8,1.0,2.6,0.75,0.2773028049867663,0.38,2.71,7.09090909090909,0.19688583333333332
STU_0112,2023-09-23,4,1,0,4.5,14.7,7281.0,8.7,1.0,3.8,0.89,0.3126812822044674,0.526,3.5,7.909090909090907,0.15139250000000004
STU_0397,2023-11-21,12,0,1,6.71,72.6,5786.0,5.2,3.9,3.1,2.51,0.5342608124519135,0.317,1.29,1.3,0.29677166666666666
STU_0212,2023-12-04,14,0,1,5.78,98.6,7060.5,5.1,4.7,4.1,2.91,0.7853987773898533,0.363,2.2199999999999998,1.0625,0.3438483333333333
STU_0110,2023-11-27,13,0,0,6.77,40.3,8351.0,5.8,3.7,3.7,1.28,0.485854642372268,0.381,1.2300000000000004,1.526315789473684,0.27932583333333333
STU_0385,2023-11-02,9,0,0,6.95,96.7,8221.0,5.6,5.4,3.9,0.0,0.5747883899032827,0.473,1.0499999999999998,1.018181818181818,0.3423425
STU_0391,2023-11-04,10,1,0,5.89,29.4,8554.0,6.3,4.1,3.9,0.94,0.4766221038115788,0.354,2.1100000000000003,1.5000000000000002,0.25567833333333334
STU_0302,2023-12-17,16,1,1,5.81,98.5,10989.0,4.3,5.3,3.0,0.0,0.2663424905537901,0.294,2.1900000000000004,0.7962962962962964,0.4201241666666667
STU_0176,2023-09-03,1,1,0,7.93,34.4,6766.0,5.4,2.5,3.5,1.12,0.6262372810633712,0.2,0.07000000000000028,2.076923076923077,0.26404666666666665
STU_0044,2023-12-20,16,0,1,4.52,49.6,2178.0,7.4,3.3,4.0,0.44,0.2886183202825546,0.473,3.4800000000000004,2.1764705882352944,0.15870666666666666
STU_0322,2023-09-28,4,0,0,6.54,56.2,6824.0,4.2,6.0,3.8,2.55,0.6951424075047389,0.308,1.46,0.6885245901639345,0.3235283333333333
STU_0231,2023-09-16,3,1,1,6.17,68.6,9138.0,4.2,5.1,3.0,1.84,0.5545205119086593,0.313,1.83,0.8076923076923078,0.36729833333333334
STU_0145,2023-11-15,11,0,0,6.21,38.1,3522.0,4.6,3.7,4.1,0.7,0.3321151376446045,0.335,1.79,1.2105263157894735,0.24864750000000002
STU_0161,2023-11-18,12,1,1,7.79,46.2,11158.0,7.4,3.0,3.3,0.14,0.3783116223624939,0.257,0.20999999999999996,2.3870967741935485,0.27489833333333336
STU_0178,2023-09-28,4,0,0,7.45,40.9,8492.0,2.5,6.0,1.8,3.14,0.5979628109816083,0.123,0.5499999999999998,0.4098360655737705,0.38083083333333334
STU_0477,2023-09-29,5,0,0,4.87,0.0,6777.0,5.4,3.1,2.7,0.685,0.3286477451344762,0.378,3.13,1.6875,0.22835999999999998
STU_0428,2023-10-23,8,0,1,4.98,29.3,6403.5,10.0,1.0,5.0,1.17,0.3316812127647782,0.586,3.0199999999999996,9.09090909090909,0.11590083333333334
STU_0373,2023-11-21,12,0,1,4.91,70.8,4195.0,8.1,4.1,4.5,0.0,0.7142044097726232,0.555,3.09,1.9285714285714288,0.18668333333333334
STU_0396,2023-09-28,4,0,0,6.4,59.4,7705.0,5.2,4.2,2.6,0.78,0.6188249553976477,0.348,1.5999999999999996,1.2093023255813955,0.3086083333333334
STU_0200,2023-09-04,1,0,0,7.2,99.0,4131.0,1.6,5.8,2.1,1.39,0.9450140186155253,0.195,0.7999999999999998,0.27118644067796616,0.410205
STU_0156,2023-09-13,2,0,0,5.39,9.0,6795.0,6.9,1.1,3.6,0.81,0.4231998577563134,0.294,2.6100000000000003,5.749999999999999,0.192975
STU_0305,2023-12-05,14,0,1,4.42,51.5,8860.0,8.1,3.4,3.2,2.18,0.4008013638254296,0.519,3.58,2.314285714285714,0.2287791666666667
STU_0302,2023-10-02,5,0,0,7.25,93.9,7299.0,3.9,4.7,1.1,0.44,0.705436832741606,0.323,0.75,0.8125,0.3781325
STU_0244,2023-12-02,14,1,1,5.06,23.0,7451.0,6.15,3.3,3.2,0.43,0.2891406330693413,0.501,2.9400000000000004,1.808823529411765,0.238805
STU_0366,2023-11-09,10,0,0,6.99,79.5,5687.0,1.4,5.4,2.6,1.97,0.6341699753199959,0.182,1.0099999999999998,0.2545454545454545,0.41663916666666667
STU_0230,2023-09-24,4,1,0,5.74,3.4,12803.0,5.0,1.6,3.4,0.55,0.3253647371926714,0.323,2.26,2.941176470588235,0.32424833333333336
STU_0421,2023-11-25,13,1,0,7.68,63.3,6556.0,1.0,6.8,2.7,1.43,0.5364285103983817,0.108,0.3200000000000003,0.14492753623188406,0.42335083333333334
STU_0311,2023-09-02,1,1,0,7.58,65.9,8497.0,3.3,6.5,1.6,2.16,0.5610553042471172,0.263,0.41999999999999993,0.5,0.3829391666666667
STU_0442,2023-09-18,3,0,1,3.4,68.65,7005.0,10.0,1.0,4.6,0.765,0.5870504093418452,0.648,4.6,9.09090909090909,0.16491041666666667
STU_0134,2023-12-15,16,0,1,5.52,111.9,8215.0,5.9,5.1,4.1,0.0,0.5556788947230313,0.447,2.4800000000000004,1.1346153846153848,0.34909583333333327
STU_0397,2023-09-22,4,0,0,7.98,91.2,7612.0,5.3,5.6,2.9,1.83,0.4314283650422252,0.303,0.019999999999999574,0.9298245614035089,0.3374933333333333
STU_0342,2023-09-08,2,0,0,7.7,66.2,7967.0,4.2,4.0,3.6,1.46,0.4287118274484958,0.284,0.2999999999999998,1.024390243902439,0.34918499999999997
STU_0069,2023-10-26,8,0,1,3.68,95.1,5005.0,10.0,1.0,4.6,0.03,0.5405213402443886,0.733,4.32,9.09090909090909,0.16579583333333334
STU_0143,2023-10-18,7,0,1,5.25,46.2,6583.0,8.5,2.5,4.2,0.3,0.3908441914340407,0.543,2.75,3.269230769230769,0.18089833333333336
STU_0417,2023-11-21,12,0,1,3.67,51.4,8982.0,7.4,2.9,4.2,0.27,0.4450468202828894,0.566,4.33,2.466666666666667,0.2513016666666667
STU_0050,2023-10-08,6,1,0,6.91,61.3,9278.0,5.1,3.2,1.7,1.66,0.4428824352081372,0.331,1.0899999999999999,1.5454545454545452,0.3345608333333333
STU_0343,2023-12-08,15,0,1,3.43,15.0,4088.0,10.0,1.0,6.1,0.66,0.4737174949365411,0.655,4.57,9.09090909090909,0.07013166666666668
STU_0287,2023-10-20,8,0,1,5.45,99.1,7192.0,2.6,6.5,2.0,2.76,0.4734816038691966,0.34,2.55,0.393939393939394,0.42112249999999996
STU_0043,2023-12-18,16,0,1,5.79,51.9,5067.0,6.8,2.7,3.4,1.02,0.4162066731442783,0.442,2.21,2.4285714285714284,0.2176225
STU_0257,2023-12-25,17,0,0,7.88,69.9,5254.0,4.3,4.9,3.5,2.3,0.5244234467587733,0.233,0.1200000000000001,0.86,0.3138658333333334
STU_0404,2023-09-01,1,0,0,6.92,33.3,7277.0,3.2,5.3,0.6,1.34,0.5721237989273207,0.217,1.08,0.5925925925925927,0.33571416666666665
STU_0389,2023-11-03,10,0,0,6.4,63.4,9404.0,4.8,4.7,1.7,0.13,0.7021797658553987,0.319,1.5999999999999996,1.0,0.34742833333333334
STU_0300,2023-10-03,5,0,0,8.61,74.5,4007.0,2.9,4.7,2.7,1.52,0.7299093185400322,0.14,-0.6099999999999994,0.6041666666666666,0.34403083333333334
STU_0389,2023-10-02,5,0,0,6.11,62.3,8096.0,5.1,2.3,3.5,2.5,0.5829957378584356,0.395,1.8899999999999997,2.125,0.31984250000000003
STU_0073,2023-10-30,9,0,0,7.24,74.2,6409.0,6.6,1.6,3.0,0.92,0.5334834847666301,0.392,0.7599999999999998,3.88235294117647,0.26474500000000006
STU_0065,2023-09-11,2,0,0,7.47,108.9,6889.0,3.7,5.4,2.7,0.0,0.6419501629829903,0.324,0.5300000000000002,0.6727272727272727,0.39429083333333337
STU_0303,2023-12-11,15,0,1,4.97,73.0,4786.0,7.5,4.4,4.7,0.15,0.4645070176131852,0.484,3.0300000000000002,1.6666666666666667,0.21485500000000002
STU_0184,2023-11-18,12,1,1,5.01,0.0,10360.0,9.2,1.0,5.2,0.0,0.5172420383987613,0.496,2.99,8.363636363636362,0.16213333333333335
STU_0381,2023-12-14,15,0,1,2.92,39.6,6209.0,9.3,1.0,4.8,0.0,0.3196995602482782,0.622,5.08,8.454545454545455,0.14503666666666667
STU_0144,2023-12-18,16,0,1,4.37,67.2,1800.0,7.4,2.4,2.6,0.985,0.3013787082025273,0.567,3.63,2.96,0.172
STU_0125,2023-12-13,15,0,1,3.85,29.9,4910.0,10.0,1.0,4.1,0.77,0.1595915336978003,0.568,4.15,9.09090909090909,0.09661249999999999
STU_0458,2023-10-27,9,0,0,6.25,58.8,3725.0,3.4,3.3,2.9,0.73,0.4367947250739739,0.193,1.75,1.0,0.3089166666666667
STU_0090,2023-09-07,1,0,0,5.4,53.5,4013.0,7.9,2.9,3.0,0.0,0.4295347200226432,0.423,2.5999999999999996,2.6333333333333333,0.1722358333333333
STU_0229,2023-10-22,8,1,1,4.62,37.4,11921.0,7.9,3.1,2.1,0.0,0.4665417375478911,0.512,3.38,2.46875,0.260905
STU_0179,2023-11-27,13,0,0,5.37,47.3,5302.0,4.5,4.2,3.2,2.3,0.3462655091831366,0.334,2.63,1.0465116279069768,0.2849641666666667
STU_0244,2023-10-13,7,0,1,5.44,18.8,7013.0,8.7,3.3,4.1,0.69,0.4186195926914657,0.438,2.5599999999999996,2.5588235294117645,0.15209000000000006
STU_0376,2023-12-26,17,0,0,5.12,51.5,5677.0,8.1,1.0,3.8,0.35,0.5442821961892793,0.562,2.88,7.363636363636362,0.1863391666666667
STU_0082,2023-09-04,1,0,0,6.26,58.2,4365.0,4.0,6.6,3.2,0.98,0.5782915048930872,0.426,1.7400000000000002,0.5970149253731344,0.298825
STU_0025,2023-12-05,14,0,1,4.54,71.6,2652.0,7.3,3.7,3.9,0.78,0.5173865609130296,0.454,3.46,1.9210526315789471,0.19094333333333333
STU_0429,2023-11-07,10,0,0,6.51,64.2,3022.0,4.7,5.3,2.9,0.78,0.4280546987185599,0.353,1.4900000000000002,0.8703703703703705,0.26616833333333334
STU_0015,2023-11-16,11,0,0,7.05,52.2,1355.0,4.6,3.3,3.3,1.09,0.4599669782982716,0.281,0.9500000000000002,1.352941176470588,0.23444166666666666
STU_0371,2023-12-12,15,0,1,6.42,101.8,6769.0,7.7,3.6,3.5,1.54,0.6255765019565847,0.425,1.58,2.081081081081081,0.265295
STU_0328,2023-09-05,1,0,0,4.52,48.2,10416.0,6.9,1.0,4.7,0.03,0.4095600670595086,0.392,3.4800000000000004,6.2727272727272725,0.28208833333333333
STU_0229,2023-10-07,6,1,0,6.54,9.0,7774.0,4.4,4.8,3.0,1.07,0.4148285785809936,0.254,1.46,0.8979591836734696,0.2810283333333333
STU_0190,2023-12-25,17,0,0,7.35,29.8,2788.0,9.4,1.0,5.3,0.0,0.3597014670101746,0.475,0.6500000000000004,8.545454545454545,0.08621499999999999
STU_0453,2023-09-17,3,1,1,3.82,85.1,6483.0,10.0,1.0,4.6,0.66,0.4904730685959662,0.716,4.18,9.09090909090909,0.17508583333333333
STU_0336,2023-09-20,3,0,1,3.35,77.9,4773.0,10.0,1.0,3.5,1.56,0.3710670764760647,0.686,4.65,9.09090909090909,0.14478583333333334
STU_0385,2023-11-26,13,1,0,8.03,54.7,10217.0,2.8,4.3,2.2,1.62,0.5646131043586705,0.15,-0.02999999999999936,0.6363636363636364,0.4092058333333334
STU_0092,2023-10-13,7,0,1,3.91,91.9,7365.0,9.0,1.0,4.5,0.0,0.448309710559015,0.682,4.09,8.181818181818182,0.22392916666666668
STU_0038,2023-12-16,16,1,1,4.04,10.2,8216.0,10.0,1.0,4.5,0.76,0.2108348492615689,0.672,3.96,9.09090909090909,0.12017166666666666
STU_0418,2023-12-26,17,0,0,5.89,52.7,11587.0,4.2,4.3,3.5,1.47,0.3877746621356594,0.341,2.1100000000000003,0.9545454545454547,0.38338916666666667
STU_0213,2023-09-19,3,0,1,4.89,63.8,6745.0,6.5,3.7,3.8,0.89,0.3765558059193113,0.372,3.1100000000000003,1.7105263157894737,0.26139166666666663
STU_0349,2023-12-08,15,0,1,5.21,54.5,6941.0,9.5,1.0,3.9,1.86,0.3797766337816379,0.603,2.79,8.636363636363635,0.1643175
STU_0252,2023-11-29,13,0,0,5.12,69.5,8538.0,7.9,1.0,4.4,1.32,0.6940921759751116,0.545,2.88,7.181818181818182,0.24923583333333332
