user_id,username,age,user_level,log_date,habit_category,difficulty,completed,streak_length,xp_earned,has_accountability,self_rating,notes
USR_00358,user_avery5335,26,15,2023/02/22,stuyd,hard,0,4.0,0.0,1.0,7.0,
USR_01063,user_alex9789,39,9,2022-08-17,Nutrition,medium,0,9.0,0.0,1.0,5.0,easy win
USR_00042,user_alex3762,19,15,09/05/2023,work,hard,0,3.0,0.0,0.0,10.0,
USR_01170,user_drew1848,10,27,01-25-2022,reading,trivial,0,2.0,0.0,1.0,7.0,
USR_02388,user_sam8552,26,15,08-29-2023,nutrition,medium,1,5.0,22.28,1.0,6.0,felt great
USR_02859,user_blake1485,18,1,04-06-2023,study,hard,1,59.0,39.21,0.0,8.0,
USR_00160,user_alex7518,16,22,2023/01/08,sleeep,medium,0,11.0,0.0,1.0,4.0,
USR_00578,user_sam2316,27,86,04-22-2022,fitness,medium,1,25.0,22.41,0.0,3.0,
USR_01883,user_riley9254,21,21,2023/08/21,FITNESS,trivial,1,4.0,5.04,1.0,7.0,
USR_02095,user_avery2453,12,31,09-06-2023,Nutrition,hard,1,3.0,35.93,1.0,,
USR_00512,user_drew5449,29,28,04-30-2022,readng,medium,0,1.0,0.0,1.0,2.0,
USR_01757,user_jordan577,23,66,2021/10/01,Work,medium,1,170.0,17.96,1.0,7.0,
USR_01986,user_riley4900,21,14,2022-12-24,reading,easy,1,79.0,11.61,,10.0,struggled today
USR_02307,user_taylor6483,23,38,2023/09/09,studying,medium,0,126.0,0.0,0.0,,
USR_02035,user_drew2605,21,19,2022-12-11,fitnes,trivial,0,26.0,0.0,0.0,5.0,
USR_02279,user_morgan8429,33,19,03/03/2022,Meditation,medium,0,4.0,0.0,0.0,,
USR_00055,user_casey2276,37,21,09/12/2021,Nutrition,hard,0,7.0,0.0,,,struggled today
USR_01318,user_casey4924,30,14,17/05/2023,Fitness,medium,1,7.0,,0.0,,
USR_01690,user_alex3827,21,18,2023/03/22,stuyd,medium,1,26.0,23.14,0.0,7.0,
USR_00071,user_jordan8327,33,17,2022-12-23,reading,medium,1,16.0,18.57,0.0,4.0,
USR_00563,user_casey4116,20,35,2021/06/03,sleeping,hard,1,6601.0,38.72,1.0,9.0,new record!
USR_02138,user_alex2581,21,16,2023/12/02,fitnes,medium,1,13.0,15.68,1.0,9.0,
USR_00503,user_avery5282,18,12,29/05/2023,sleeep,easy,0,2.0,0.0,1.0,1.0,
USR_01530,user_riley9788,24,25,07-04-2022,nutrtion,hard,1,4.0,41.78,1.0,,
USR_02335,user_jordan3852,18,25,11-29-2023,nutrition,hard,0,48.0,0.0,0.0,,easy win
USR_01480,user_riley9679,29,20,2023-03-23,Fitness,easy,1,9.0,6.93,0.0,9.0,felt great
USR_00506,user_casey6740,22,24,12-06-2023,socializing,easy,1,65.0,8.69,0.0,9.0,
USR_02047,user_morgan5123,19,5,01-17-2023,stuyd,medium,0,37.0,0.0,0.0,2.0,
USR_02457,user_riley7827,20,24,2023-08-20,Reading,trivial,1,3.0,9.48,0.0,9.0,
USR_00062,user_drew7678,36,24,2023/06/11,meditaton,hard,1,4.0,41.06,1.0,7.0,new record!
USR_00289,user_blake7643,18,32,2023-07-14,socail,medium,1,8.0,20.32,1.0,,new record!
USR_00335,user_casey1255,28,25,2023-02-06,socializing,medium,1,27.0,20.85,0.0,3.0,
USR_01388,user_sam5926,24,10,2023-11-05,studying,medium,1,30.0,22.88,0.0,1.0,skipped yesterday
USR_01470,user_jordan6003,17,34,2023/07/27,read,easy,1,11.0,11.87,0.0,4.0,
USR_01691,user_blake5685,27,18,18/08/2023,reading,trivial,0,2.0,0.0,1.0,6.0,skipped yesterday
USR_00664,user_jordan7780,16,6,04-22-2023,stuyd,hard,1,11.0,35.37,0.0,,
USR_00896,user_morgan793,31,6,2021/10/31,Sleep,medium,1,76.0,22.43,1.0,10.0,skipped yesterday
USR_01801,user_jordan5311,25,43,2021/07/12,Sleep,trivial,1,78.0,7.74,1.0,3.0,
USR_02394,user_sam8475,28,13,2023-09-04,Reading,medium,1,18.0,16.5,1.0,,
USR_01916,user_drew1651,29,7,2022/12/23,Fitness,medium,0,5.0,0.0,1.0,,easy win
USR_02441,user_drew1587,24,16,11-05-2022,social,easy,1,12.0,6.67,1.0,2.0,
USR_00376,user_morgan6981,26,36,2023-07-13,Study,hard,0,5.0,0.0,0.0,3.0,
USR_02086,user_blake3314,30,23,18/03/2023,socializing,medium,0,7.0,0.0,0.0,2.0,struggled today
USR_02145,user_casey9029,31,7,09-14-2023,work,medium,0,5.0,0.0,0.0,3.0,
USR_00373,user_riley9538,18,1,01-27-2023,Study,medium,0,94.0,0.0,0.0,6.0,easy win
USR_00341,user_taylor6081,18,13,19/11/2023,read,easy,1,2.0,10.89,0.0,4.0,
USR_02261,user_morgan3634,26,29,05-28-2023,Reading,easy,0,14.0,0.0,1.0,3.0,
USR_02273,user_blake4643,19,36,2022/07/21,study,medium,1,10.0,21.14,0.0,9.0,
USR_02489,user_alex1502,35,29,2023/06/08,wrk,medium,1,2.0,19.63,0.0,,
USR_01093,user_morgan9193,26,15,09-04-2023,nutrition,easy,1,16.0,14.3,1.0,3.0,
USR_00991,user_avery8948,30,23,2023/08/21,Nutrition,hard,1,2.0,37.48,0.0,4.0,
USR_02250,user_drew843,35,8,01-28-2023,socializing,trivial,1,1.0,6.32,1.0,4.0,skipped yesterday
USR_00822,user_riley7694,30,8,2023/10/13,stuyd,easy,1,114.0,9.18,0.0,3.0,
USR_02743,user_casey5199,16,25,2023-03-06,meditaton,medium,1,105.0,21.64,0.0,10.0,
USR_00499,user_avery8834,21,68,06-29-2023,wrk,easy,1,125.0,8.86,0.0,1.0,struggled today
USR_00833,user_blake2052,18,30,05-02-2021,studying,easy,0,4.0,0.0,0.0,,skipped yesterday
USR_00761,user_riley4510,17,18,14/10/2023,nutrition,hard,1,19.0,34.87,0.0,8.0,
USR_00226,user_casey4183,18,6,2023/06/09,nutrtion,medium,1,26.0,15.51,0.0,7.0,
USR_00926,user_drew540,35,23,2022-12-12,sleeping,,1,57.0,36.87,0.0,6.0,
USR_02506,user_drew2786,42,30,04-14-2023,nutrtion,trivial,1,6.0,-1.54,,1.0,
USR_01658,user_jordan6034,21,24,09/06/2021,sleeping,easy,0,5.0,0.0,0.0,,easy win
USR_02750,user_blake4838,26,17,04-23-2023,socializing,trivial,0,7.0,0.0,0.0,,
USR_02528,user_blake4232,29,88,07/12/2022,Work,hard,1,5.0,39.3,0.0,6.0,struggled today
USR_00499,user_avery8834,21,68,30/08/2022,meditate,easy,1,27.0,,1.0,8.0,
USR_02380,user_avery3806,26,23,11-09-2022,Fitness,medium,1,13.0,20.78,0.0,9.0,
USR_01933,user_riley4603,34,35,2021/12/03,studying,hard,1,,36.15,1.0,,
USR_00649,user_riley9600,28,25,2023-09-25,social,easy,1,14.0,8.56,1.0,9.0,
USR_01090,user_riley4745,28,28,2023-01-15,reading,easy,1,14.0,14.45,0.0,10.0,
USR_01157,user_riley1933,28,39,25/08/2022,meditate,medium,1,23.0,,0.0,9.0,felt great
USR_01334,user_jordan5162,34,33,2023/12/24,social,medium,1,92.0,,1.0,2.0,new record!
USR_01451,user_sam4929,16,15,2023/01/21,reading,hard,0,14.0,0.0,0.0,2.0,new record!
USR_00643,user_taylor6994,26,36,26/09/2023,Social,easy,1,43.0,12.7,0.0,9.0,
USR_02047,user_morgan5123,19,5,2022-01-11,read,hard,1,17.0,38.51,,8.0,felt great
USR_00460,user_taylor8127,22,38,02/06/2022,Sleep,medium,1,60.0,,0.0,,struggled today
USR_01182,user_taylor7494,39,20,2022-07-15,FITNESS,easy,0,7.0,0.0,0.0,8.0,
USR_02514,user_alex1134,16,36,14/10/2023,meditate,medium,0,1.0,0.0,1.0,1.0,
USR_01584,user_sam1688,31,38,2023/08/08,stuyd,easy,0,1.0,0.0,1.0,9.0,
USR_01903,user_taylor3318,27,13,02-02-2023,nutrition,medium,1,20.0,20.0,0.0,8.0,
USR_00547,user_avery5671,11,34,31/05/2023,FITNESS,medium,1,52.0,19.79,1.0,6.0,
USR_00265,user_blake7621,30,56,06-05-2023,meditaton,hard,1,61.0,39.92,0.0,7.0,
USR_00913,user_jordan7282,19,1,05/02/2023,Social,easy,1,14.0,8.82,0.0,6.0,felt great
USR_01589,user_sam8701,23,3,2023-03-24,Reading,medium,1,14.0,18.38,1.0,1.0,new record!
USR_02503,user_casey560,29,14,05-13-2023,socail,medium,1,7.0,18.44,0.0,,
USR_02066,user_taylor4200,30,12,2021-11-16,studying,medium,1,,20.46,0.0,5.0,skipped yesterday
USR_01660,user_sam9412,30,19,04-04-2023,diet,trivial,1,26.0,10.32,0.0,2.0,
USR_00244,user_casey7053,26,12,16/12/2022,Sleep,hard,0,7.0,0.0,0.0,4.0,easy win
USR_02888,user_casey3281,34,4,16/06/2022,stuyd,medium,1,3.0,22.13,1.0,1.0,
USR_02487,user_blake862,22,6,2022-09-28,meditaton,hard,1,2.0,42.31,1.0,3.0,
USR_01657,user_avery9297,7,20,09-23-2023,Fitness,easy,1,16.0,13.07,0.0,10.0,
USR_02086,user_blake3314,30,23,2023-06-15,Study,medium,0,4.0,0.0,1.0,8.0,
USR_00540,user_avery9564,28,15,2023/11/01,Nutrition,medium,1,100.0,23.48,0.0,7.0,
USR_01011,user_taylor6860,17,25,2022-07-04,Social,medium,1,33.0,16.72,0.0,6.0,easy win
USR_02650,user_jordan8640,20,31,2023-08-17,fitnes,easy,1,6.0,7.69,0.0,9.0,struggled today
USR_00634,user_sam7812,28,28,2023/03/30,Study,easy,0,6.0,0.0,,,
USR_02435,user_sam3775,45,39,01-03-2023,studying,easy,1,102.0,12.59,1.0,,
USR_01729,user_morgan6502,23,35,2023-06-12,nutrition,hard,1,2.0,40.62,0.0,10.0,felt great
USR_02692,user_riley8070,14,18,2022/08/05,stuyd,medium,1,21.0,26.03,1.0,4.0,
USR_02719,user_avery6385,25,17,07-04-2021,sleeping,medium,0,3.0,0.0,1.0,8.0,easy win
USR_00769,user_drew9743,33,16,2023/04/05,meditate,hard,1,1.0,41.69,0.0,8.0,new record!
USR_02006,user_jordan4823,31,15,31/08/2023,Reading,trivial,1,7.0,2.6,1.0,5.0,
USR_01625,user_blake4703,28,34,31/01/2023,fit,medium,1,53.0,17.93,1.0,1.0,
USR_01957,user_casey6112,21,12,2023/05/02,studying,trivial,0,9.0,0.0,1.0,2.0,
USR_02491,user_drew7143,20,1,05/02/2022,working,hard,1,1.0,39.78,1.0,10.0,
USR_02576,user_casey6226,22,11,2023/08/24,Study,hard,1,72.0,34.04,0.0,,
USR_02861,user_riley6470,26,36,20/10/2023,Sleep,easy,1,21.0,6.95,0.0,4.0,
USR_01790,user_jordan9235,26,36,12/05/2023,sleep,hard,0,3.0,0.0,0.0,3.0,
USR_00740,user_drew6570,27,36,04-19-2023,read,medium,0,,,0.0,,
USR_02561,user_drew5177,22,31,2022/07/12,work,medium,1,39.0,26.52,1.0,1.0,
USR_01336,user_drew2372,20,26,08-15-2023,Study,trivial,1,3.0,5.0,0.0,8.0,
USR_02113,user_taylor7489,31,38,2023/01/26,nutrition,medium,1,10.0,16.92,1.0,1.0,
USR_01484,user_sam3009,16,29,2022/05/19,stuyd,easy,1,54.0,7.91,0.0,8.0,new record!
USR_00086,user_jordan7797,23,15,2021/10/29,Meditation,easy,0,1.0,0.0,1.0,1.0,easy win
USR_01077,user_blake7736,27,18,2022-05-18,social,medium,1,,19.16,0.0,3.0,
USR_02618,user_morgan5336,33,34,07/06/2022,fitnes,hard,1,4.0,39.88,0.0,10.0,
USR_00573,user_blake8231,24,39,2023-09-04,studying,easy,1,2.0,13.63,1.0,5.0,new record!
USR_01100,user_sam5684,23,35,2021/11/06,fitness,hard,0,9.0,0.0,1.0,8.0,felt great
USR_02171,user_morgan1751,22,14,18/02/2023,read,medium,0,10.0,0.0,0.0,7.0,struggled today
USR_02644,user_sam1712,29,26,2022-12-14,working,easy,1,5.0,13.08,0.0,2.0,
USR_02354,user_drew1353,30,44,30/11/2022,Social,easy,1,204.0,8.79,1.0,4.0,
USR_02975,user_taylor3656,27,29,2023/05/29,Study,hard,0,2.0,0.0,0.0,9.0,
USR_01986,user_riley4900,21,14,10/06/2023,sleeep,medium,1,111.0,15.72,0.0,4.0,skipped yesterday
USR_00671,user_blake5410,34,27,2022-08-25,socializing,trivial,1,16.0,9.84,1.0,,
USR_01034,user_morgan9074,33,38,2023/06/26,fitnes,hard,1,42.0,42.48,0.0,3.0,
USR_00529,user_jordan4916,28,2,2023-01-22,reading,medium,1,87.0,19.54,1.0,1.0,new record!
USR_01328,user_alex3774,24,28,23/08/2021,nutrition,trivial,1,5.0,2.41,0.0,,
USR_00310,user_avery2987,29,27,13/03/2022,Nutrition,easy,1,1.0,7.3,1.0,9.0,
USR_02095,user_avery2453,12,31,2022-07-05,studying,hard,0,1.0,0.0,0.0,,skipped yesterday
USR_00013,user_avery9664,15,12,09/03/2023,sleep,medium,0,3.0,0.0,0.0,9.0,
USR_01530,user_riley9788,24,25,2023/03/23,fitness,trivial,0,4.0,0.0,1.0,10.0,
USR_02889,user_morgan2565,27,13,12/10/2023,studying,hard,1,4.0,32.81,0.0,10.0,
USR_00541,user_jordan3814,26,88,06-27-2023,fitnes,medium,1,210.0,18.42,0.0,7.0,new record!
USR_02576,user_casey6226,22,11,21/12/2022,Sleep,hard,1,2.0,40.8,0.0,6.0,
USR_01664,user_casey763,27,13,2023-03-10,socail,hard,1,11.0,42.01,0.0,,
USR_00153,user_drew8575,23,6,2023/10/02,Study,easy,1,11.0,6.97,1.0,4.0,
USR_00001,user_sam419,33,3,07-02-2022,sleep,hard,1,8.0,42.1,0.0,8.0,skipped yesterday
USR_02691,user_avery7428,29,10,2023/07/04,readng,medium,1,13.0,15.78,0.0,6.0,skipped yesterday
USR_02082,user_riley1877,10,8,05/11/2023,fitnes,hard,1,59.0,38.8,0.0,,
USR_00544,user_alex7632,27,20,2023/05/04,working,,0,53.0,0.0,0.0,6.0,
USR_01659,user_jordan4189,22,35,2022/04/20,sleep,medium,1,3.0,21.65,0.0,9.0,
USR_00968,user_drew2991,19,14,01-07-2022,fitnes,medium,0,3.0,0.0,0.0,1.0,easy win
USR_00859,user_alex3916,32,19,2023/12/28,Social,medium,1,11.0,,0.0,1.0,
USR_01265,user_blake5279,30,22,04/11/2023,socail,medium,1,32.0,18.95,,10.0,felt great
USR_02415,user_jordan9406,19,30,02/11/2023,nutrtion,easy,0,7.0,0.0,1.0,1.0,
USR_01749,user_alex2762,25,18,2023/07/14,socail,medium,1,15.0,20.7,0.0,9.0,felt great
USR_00391,user_riley241,28,86,2023-06-19,Study,easy,1,7.0,11.84,1.0,,
USR_02278,user_riley3164,20,2,03-14-2022,fit,trivial,0,3.0,0.0,0.0,10.0,
USR_01933,user_riley4603,34,35,01/12/2023,meditation,medium,1,21.0,21.18,1.0,8.0,new record!
USR_00381,user_sam3165,34,32,2022-12-31,meditation,medium,1,17.0,19.66,0.0,10.0,skipped yesterday
USR_01611,user_taylor1857,20,41,2022-07-08,fit,medium,1,161.0,20.59,1.0,4.0,skipped yesterday
USR_02500,user_avery7202,29,30,01/09/2023,sleeping,medium,1,1.0,21.51,0.0,,
USR_01696,user_casey6888,23,16,2022-09-13,diet,medium,0,22.0,0.0,0.0,,skipped yesterday
USR_00843,user_casey6336,41,23,2023-11-10,diet,trivial,1,141.0,4.06,1.0,6.0,
USR_01849,user_blake1535,4,97,06-08-2022,stuyd,hard,0,130.0,0.0,0.0,4.0,
USR_00710,user_morgan7053,23,3,2023-04-01,socializing,hard,0,11.0,0.0,0.0,2.0,
USR_01574,user_sam27,14,88,2022/04/15,readng,easy,1,393.0,,0.0,7.0,
USR_02660,user_taylor8586,25,10,2023-10-15,fitnes,medium,1,,17.38,1.0,7.0,
USR_00371,user_riley3640,39,39,10/10/2023,Work,hard,1,29.0,43.5,,3.0,
USR_02759,user_avery4854,18,26,2023/10/07,fit,hard,1,16.0,38.68,1.0,3.0,struggled today
USR_01450,user_avery5235,18,4,2023/09/07,sleep,hard,1,11.0,,0.0,,
USR_01366,user_jordan1440,24,12,07/05/2023,socializing,medium,1,25.0,21.77,0.0,4.0,
USR_02027,user_drew7506,9,31,11-08-2021,work,medium,1,,21.84,1.0,,
USR_00877,user_morgan4165,20,13,01/11/2023,Study,hard,1,1.0,39.15,0.0,4.0,
USR_00874,user_blake343,30,10,30/12/2023,working,easy,1,9.0,13.89,0.0,8.0,
USR_00649,user_riley9600,28,25,2023/11/29,wrk,medium,1,18.0,16.94,0.0,,
USR_01667,user_jordan589,22,30,20/12/2022,FITNESS,medium,1,86.0,13.22,1.0,4.0,felt great
USR_00667,user_taylor1592,15,22,04/03/2022,socializing,medium,1,113.0,17.09,0.0,8.0,new record!
USR_00723,user_jordan6239,27,32,2021/12/31,socializing,hard,1,41.0,42.6,0.0,1.0,struggled today
USR_02839,user_sam5329,19,38,10-12-2022,Sleep,medium,1,28.0,19.8,0.0,8.0,
USR_00297,user_taylor8828,23,7,10/12/2022,Study,medium,0,1.0,0.0,0.0,9.0,
USR_00522,user_morgan8004,29,23,2022-05-24,sleeping,easy,0,3.0,0.0,1.0,6.0,
USR_02514,user_alex1134,16,36,12-20-2023,Reading,medium,1,6.0,24.54,1.0,3.0,
USR_01452,user_alex1895,14,32,11/06/2023,meditaton,medium,0,13.0,0.0,0.0,1.0,
USR_02280,user_sam1582,28,12,2023-06-19,Reading,medium,1,1.0,18.02,1.0,8.0,
USR_02967,user_blake9917,15,27,10-02-2023,socail,hard,1,10.0,36.34,1.0,9.0,felt great
USR_02420,user_jordan4241,31,21,29/05/2023,meditation,medium,0,10.0,0.0,1.0,4.0,struggled today
USR_02049,user_taylor8256,33,18,2023/07/27,sleep,hard,1,6.0,38.32,0.0,6.0,struggled today
USR_02820,user_alex4670,18,23,01-31-2022,Reading,medium,0,20.0,0.0,1.0,3.0,
