student_id,profile,date,week_num,is_weekend,is_deadline_week,sleep_hours,focus_minutes,activity_steps,stress_level,mood_score,caffeine_drinks,social_hours,goal_completion_rate,burnout_score
STU_0161,average,2023-09-10,2,1,0,6.66,43.5,2042.0,4.6,2.4,2.1,1.9,0.44178837198728615,0.262
STU_0395,average,2023-11-15,11,0,0,7.55,51.1,4586.0,7.3,,3.1,,0.38520405519086404,0.43
STU_0385,high_performer,2023-11-06,10,0,0,6.7,128.4,7340.0,4.5,5.8,2.1,0.42,0.7899880446794424,0.403
STU_0095,average,2023-10-23,8,0,1,4.87,64.8,6080.0,7.1,1.0,3.7,1.06,0.41421045076694013,0.436
STU_0305,average,2023-10-16,7,0,1,4.08,68.6,6776.0,5.1,3.5,3.3,1.23,0.4407010661255659,0.483
STU_0145,average,2023-12-19,16,0,1,4.55,84.6,,8.1,2.1,4.7,0.14,0.5439643735215204,0.519
STU_0244,average,2023-11-02,9,0,0,8.04,59.5,8834.0,4.6,5.0,3.5,0.96,0.6372278253222486,0.287
STU_0445,average,2023-12-07,14,0,1,5.39,69.1,5198.0,6.8,5.0,4.6,1.7,0.40367969054691194,0.475
STU_0308,struggling,2023-10-21,8,1,1,3.82,20.0,6818.0,10.0,1.0,4.7,2.12,0.4127482302886677,0.621
STU_0195,struggling,2023-11-22,12,0,1,3.99,29.6,5829.0,8.9,1.0,4.7,,0.3171481306031073,0.577
STU_0403,burnout_risk,2023-12-04,14,0,1,4.26,,7726.0,10.0,,3.9,,0.4473813826691014,0.719
STU_0435,burnout_risk,2023-11-15,11,0,0,4.35,49.1,7267.0,7.1,,3.4,1.04,0.45480505111413855,0.532
STU_0252,burnout_risk,2023-12-03,14,1,1,2.44,45.0,11859.0,6.8,1.4,3.8,1.82,0.29634610021484215,0.643
STU_0291,struggling,2023-11-04,10,1,0,4.7,26.7,5536.0,7.0,1.0,3.4,0.74,0.39603408751401836,0.369
STU_0102,burnout_risk,2023-10-03,5,0,0,5.17,57.8,7097.0,7.1,1.2,2.5,0.46,0.3010952145723116,0.393
STU_0137,average,2023-09-10,2,1,0,4.31,13.7,8375.0,4.7,4.5,3.3,0.34,0.4493213354517976,0.411
STU_0466,average,2023-10-01,5,1,0,7.7,30.2,8532.0,3.7,4.9,3.0,,0.3566531745156507,0.184
STU_0317,average,2023-09-30,5,1,0,6.66,52.7,9668.0,5.5,4.6,2.6,1.79,0.4737844391601843,0.287
STU_0417,average,2023-12-05,14,0,1,5.09,60.3,2365.0,7.3,,2.8,0.58,0.3688947400776105,0.405
STU_0201,struggling,2023-10-22,8,1,1,4.95,0.0,5401.0,9.6,1.0,2.3,1.7,0.35430850281316784,0.539
STU_0221,burnout_risk,2023-09-10,2,1,0,3.45,39.6,7886.0,8.6,1.0,,0.25,0.4656993475058954,0.647
STU_0348,struggling,2023-12-23,17,1,0,7.53,6.0,7109.0,4.4,2.4,3.3,0.5,0.49990678380451703,0.221
STU_0081,average,2023-10-11,6,0,0,5.96,54.0,5634.0,3.7,6.7,,0.66,0.5197424730151681,0.287
STU_0278,struggling,2023-10-09,6,0,0,5.29,14.7,8668.0,7.8,,2.6,0.75,0.2773028049867663,0.38
STU_0112,struggling,2023-09-23,4,1,0,4.5,14.7,7281.0,8.7,,3.8,0.89,0.31268128220446745,0.526
STU_0397,high_performer,2023-11-21,12,0,1,6.71,72.6,5786.0,5.2,3.9,3.1,2.51,0.5342608124519135,0.317
STU_0212,high_performer,2023-12-04,14,0,1,5.78,98.6,,5.1,4.7,4.1,2.91,0.7853987773898533,0.363
STU_0110,average,2023-11-27,13,0,0,6.77,40.3,8351.0,5.8,3.7,3.7,1.28,0.485854642372268,0.381
STU_0385,high_performer,2023-11-02,9,0,0,6.95,96.7,8221.0,5.6,5.4,3.9,0.0,0.5747883899032827,0.473
STU_0391,average,2023-11-04,10,1,0,,29.4,8554.0,6.3,4.1,3.9,0.94,0.4766221038115788,0.354
STU_0302,high_performer,2023-12-17,16,1,1,5.81,98.5,10989.0,4.3,5.3,3.0,0.0,0.26634249055379017,0.294
STU_0176,average,2023-09-03,1,1,0,7.93,34.4,6766.0,5.4,2.5,3.5,1.12,0.6262372810633712,0.2
STU_0044,average,2023-12-20,16,0,1,4.52,49.6,2178.0,7.4,3.3,4.0,0.44,0.28861832028255463,0.473
STU_0322,average,2023-09-28,4,0,0,6.54,56.2,6824.0,4.2,6.0,3.8,2.55,0.6951424075047389,0.308
STU_0231,high_performer,2023-09-16,3,1,1,6.17,68.6,9138.0,4.2,5.1,3.0,1.84,0.5545205119086593,0.313
STU_0145,average,2023-11-15,11,0,0,6.21,38.1,3522.0,4.6,,4.1,0.7,0.33211513764460454,0.335
STU_0161,average,2023-11-18,12,1,1,7.79,46.2,11158.0,7.4,3.0,3.3,0.14,0.3783116223624939,0.257
STU_0178,average,2023-09-28,4,0,0,7.45,40.9,8492.0,2.5,6.0,1.8,3.14,0.5979628109816083,0.123
STU_0477,struggling,2023-09-29,5,0,0,4.87,0.0,,5.4,3.1,2.7,,0.3286477451344762,0.378
STU_0428,struggling,2023-10-23,8,0,1,4.98,29.3,,10.0,1.0,5.0,1.17,0.33168121276477824,0.586
STU_0373,average,2023-11-21,12,0,1,4.91,70.8,4195.0,8.1,4.1,4.5,0.0,0.7142044097726232,0.555
STU_0396,average,2023-09-28,4,0,0,6.4,59.4,7705.0,5.2,4.2,2.6,0.78,0.6188249553976477,0.348
STU_0200,high_performer,2023-09-04,1,0,0,7.2,99.0,4131.0,1.6,5.8,2.1,1.39,0.9450140186155253,0.195
STU_0156,struggling,2023-09-13,2,0,0,5.39,9.0,,6.9,1.1,3.6,0.81,0.42319985775631347,0.294
STU_0305,average,2023-12-05,14,0,1,4.42,51.5,8860.0,8.1,3.4,3.2,2.18,0.40080136382542964,0.519
STU_0302,high_performer,2023-10-02,5,0,0,7.25,93.9,7299.0,3.9,4.7,1.1,0.44,0.705436832741606,0.323
STU_0244,average,2023-12-02,14,1,1,5.06,23.0,7451.0,,3.3,3.2,0.43,0.2891406330693413,0.501
STU_0366,high_performer,2023-11-09,10,0,0,6.99,79.5,5687.0,1.4,5.4,2.6,1.97,0.6341699753199959,0.182
STU_0230,struggling,2023-09-24,4,1,0,5.74,3.4,12803.0,5.0,1.6,3.4,0.55,0.3253647371926714,0.323
STU_0421,high_performer,2023-11-25,13,1,0,7.68,63.3,6556.0,1.0,6.8,,,0.5364285103983817,0.108
STU_0311,high_performer,2023-09-02,1,1,0,7.58,65.9,8497.0,3.3,6.5,1.6,2.16,0.5610553042471172,0.263
STU_0442,burnout_risk,2023-09-18,3,0,1,3.4,,7005.0,10.0,1.0,4.6,,0.5870504093418452,0.648
STU_0134,high_performer,2023-12-15,16,0,1,5.52,111.9,8215.0,5.9,5.1,4.1,0.0,0.5556788947230313,0.447
STU_0397,high_performer,2023-09-22,4,0,0,7.98,91.2,7612.0,5.3,5.6,2.9,1.83,0.4314283650422252,0.303
STU_0342,average,2023-09-08,2,0,0,7.7,66.2,7967.0,4.2,4.0,3.6,1.46,0.42871182744849584,0.284
STU_0069,burnout_risk,2023-10-26,8,0,1,3.68,95.1,5005.0,10.0,1.0,4.6,0.03,0.5405213402443886,0.733
STU_0143,average,2023-10-18,7,0,1,5.25,46.2,6583.0,8.5,2.5,4.2,0.3,0.3908441914340407,0.543
STU_0417,average,2023-11-21,12,0,1,3.67,,8982.0,7.4,2.9,4.2,0.27,0.44504682028288944,0.566
STU_0050,average,2023-10-08,6,1,0,6.91,61.3,9278.0,5.1,3.2,1.7,1.66,0.4428824352081372,0.331
STU_0343,struggling,2023-12-08,15,0,1,3.43,15.0,4088.0,10.0,1.0,6.1,0.66,0.47371749493654114,0.655
STU_0287,high_performer,2023-10-20,8,0,1,5.45,99.1,7192.0,2.6,6.5,2.0,2.76,0.47348160386919663,0.34
STU_0043,average,2023-12-18,16,0,1,5.79,51.9,5067.0,6.8,2.7,,1.02,0.41620667314427834,0.442
STU_0257,average,2023-12-25,17,0,0,7.88,69.9,5254.0,4.3,4.9,3.5,2.3,0.5244234467587733,0.233
STU_0404,average,2023-09-01,1,0,0,6.92,33.3,7277.0,3.2,5.3,0.6,1.34,0.5721237989273207,0.217
STU_0389,average,2023-11-03,10,0,0,6.4,63.4,9404.0,4.8,4.7,1.7,0.13,0.7021797658553987,0.319
STU_0300,high_performer,2023-10-03,5,0,0,8.61,74.5,4007.0,2.9,4.7,2.7,1.52,0.7299093185400322,0.14
STU_0389,average,2023-10-02,5,0,0,6.11,62.3,8096.0,5.1,2.3,3.5,2.5,0.5829957378584356,0.395
STU_0073,average,2023-10-30,9,0,0,7.24,74.2,6409.0,6.6,1.6,3.0,0.92,0.5334834847666301,0.392
STU_0065,high_performer,2023-09-11,2,0,0,7.47,108.9,6889.0,3.7,,,0.0,0.6419501629829903,0.324
STU_0303,average,2023-12-11,15,0,1,4.97,73.0,4786.0,7.5,4.4,4.7,0.15,0.46450701761318525,0.484
STU_0184,struggling,2023-11-18,12,1,1,5.01,0.0,10360.0,9.2,1.0,5.2,0.0,0.5172420383987613,0.496
STU_0381,struggling,2023-12-14,15,0,1,2.92,39.6,6209.0,9.3,1.0,4.8,0.0,0.3196995602482782,0.622
STU_0144,average,2023-12-18,16,0,1,4.37,67.2,1800.0,7.4,2.4,2.6,,0.3013787082025273,0.567
STU_0125,struggling,2023-12-13,15,0,1,3.85,29.9,4910.0,10.0,1.0,4.1,,0.15959153369780033,0.568
STU_0458,average,2023-10-27,9,0,0,6.25,58.8,3725.0,3.4,3.3,2.9,0.73,0.4367947250739739,0.193
STU_0090,struggling,2023-09-07,1,0,0,5.4,53.5,4013.0,,2.9,3.0,0.0,0.42953472002264326,0.423
STU_0229,average,2023-10-22,8,1,1,4.62,37.4,11921.0,7.9,3.1,2.1,0.0,0.4665417375478911,0.512
STU_0179,average,2023-11-27,13,0,0,5.37,47.3,5302.0,4.5,4.2,,2.3,0.3462655091831366,0.334
STU_0244,average,2023-10-13,7,0,1,5.44,18.8,,8.7,3.3,4.1,0.69,0.41861959269146576,0.438
STU_0376,struggling,2023-12-26,17,0,0,5.12,51.5,5677.0,,1.0,3.8,0.35,0.5442821961892793,0.562
STU_0082,average,2023-09-04,1,0,0,6.26,58.2,4365.0,4.0,6.6,3.2,0.98,0.5782915048930872,0.426
STU_0025,average,2023-12-05,14,0,1,4.54,71.6,2652.0,7.3,3.7,3.9,0.78,0.5173865609130296,0.454
STU_0429,average,2023-11-07,10,0,0,6.51,64.2,3022.0,4.7,5.3,2.9,0.78,0.4280546987185599,0.353
STU_0015,average,2023-11-16,11,0,0,7.05,52.2,1355.0,4.6,3.3,3.3,1.09,0.4599669782982716,0.281
STU_0371,high_performer,2023-12-12,15,0,1,6.42,101.8,,7.7,3.6,3.5,1.54,0.6255765019565847,0.425
STU_0328,burnout_risk,2023-09-05,1,0,0,-1.0,48.2,10416.0,6.9,1.0,4.7,0.03,0.40956006705950865,0.392
STU_0229,average,2023-10-07,6,1,0,6.54,9.0,7774.0,4.4,4.8,3.0,1.07,0.41482857858099365,0.254
STU_0190,struggling,2023-12-25,17,0,0,7.35,29.8,2788.0,9.4,1.0,5.3,0.0,0.35970146701017464,0.475
STU_0453,burnout_risk,2023-09-17,3,1,1,3.82,85.1,6483.0,10.0,1.0,4.6,0.66,0.4904730685959662,0.716
STU_0336,burnout_risk,2023-09-20,3,0,1,3.35,77.9,4773.0,10.0,,3.5,1.56,0.37106707647606474,0.686
STU_0385,high_performer,2023-11-26,13,1,0,8.03,54.7,10217.0,2.8,4.3,2.2,1.62,0.5646131043586705,0.15
STU_0092,burnout_risk,2023-10-13,7,0,1,3.91,91.9,7365.0,,1.0,4.5,0.0,0.448309710559015,0.682
STU_0038,struggling,2023-12-16,16,1,1,4.04,10.2,8216.0,10.0,1.0,4.5,,0.21083484926156898,0.672
STU_0418,average,2023-12-26,17,0,0,,,11587.0,4.2,4.3,3.5,1.47,0.3877746621356594,0.341
STU_0213,average,2023-09-19,3,0,1,4.89,63.8,6745.0,6.5,3.7,3.8,0.89,0.3765558059193113,0.372
STU_0349,struggling,2023-12-08,15,0,1,5.21,54.5,6941.0,9.5,1.0,3.9,1.86,0.37977663378163795,0.603
STU_0252,burnout_risk,2023-11-29,13,0,0,5.12,69.5,8538.0,7.9,1.0,4.4,1.32,0.6940921759751116,0.545
STU_0438,average,2023-09-13,2,0,0,6.25,56.5,10737.0,,3.5,2.3,0.58,0.5604267024205222,0.256
STU_0221,burnout_risk,2023-09-21,3,0,1,3.95,76.5,4437.0,10.0,1.0,3.9,1.17,0.42434455175649577,0.701
STU_0239,average,2023-11-15,11,0,0,6.11,66.4,6079.0,4.6,3.9,2.8,0.88,0.4582160966278876,0.357
STU_0419,high_performer,2023-12-24,17,1,0,7.59,96.5,6591.0,30.0,6.2,3.0,1.42,0.5464797686286299,0.237
STU_0363,average,2023-10-09,6,0,0,6.93,64.0,4203.0,6.3,1.3,2.0,0.59,0.4776372096291166,0.382
STU_0477,struggling,2023-12-22,17,0,0,5.36,46.5,6109.0,5.6,3.3,3.5,1.98,0.4326748596799193,0.351
STU_0060,average,2023-11-24,13,0,0,7.53,83.0,7646.0,4.1,3.4,2.2,1.25,0.4600713490987819,0.273
STU_0405,struggling,2023-11-30,13,0,0,,17.8,4203.0,6.6,,,2.52,0.5093459415119295,0.418
STU_0129,struggling,2023-09-24,4,1,0,5.76,19.6,10962.0,8.0,1.0,3.5,0.14,0.43984368775604427,0.47
STU_0329,struggling,2023-12-11,15,0,1,4.37,25.3,6758.0,8.6,1.0,4.1,1.71,0.3182620384968077,0.546
STU_0414,burnout_risk,2023-10-02,5,0,0,4.64,84.1,7228.0,7.5,1.0,3.9,1.7,0.41249827643402237,0.585
STU_0308,struggling,2023-10-31,9,0,0,5.59,33.0,,7.5,1.0,2.7,1.98,0.4031395896948742,0.447
STU_0375,burnout_risk,2023-10-07,6,1,0,5.2,69.3,7519.0,8.4,1.0,4.9,0.03,0.38910957364774434,0.495
STU_0369,high_performer,2023-12-22,17,0,0,8.39,94.9,4389.0,,4.7,2.7,1.99,0.5974967063450013,0.107
STU_0143,average,2023-10-07,6,1,0,5.91,8.7,9279.0,4.4,2.2,4.0,1.46,0.5328684190163187,0.325
STU_0012,average,2023-12-03,14,1,1,5.52,22.0,8514.0,7.2,2.7,3.6,0.44,0.3098684580690845,0.388
STU_0441,struggling,2023-09-16,3,1,1,4.07,20.8,9342.0,9.8,1.0,4.3,0.07,0.3798627015481816,0.663
STU_0136,high_performer,2023-09-16,3,1,1,6.02,68.7,,5.8,2.8,3.8,0.89,0.3842781586475951,0.369
STU_0170,struggling,2023-12-22,17,0,0,4.6,24.0,6148.0,6.5,2.1,3.4,1.38,0.3134415958213234,0.307
STU_0045,struggling,2023-12-03,14,1,1,3.81,11.4,9023.0,8.4,1.0,3.8,1.03,0.42586466782977556,0.582
STU_0453,burnout_risk,2023-09-12,2,0,0,4.94,58.5,5759.0,8.1,1.1,3.1,0.7,0.4619258580664498,0.511
STU_0496,struggling,2023-10-26,8,0,1,4.99,43.2,7363.0,10.0,1.0,5.0,0.15,0.3617123039624611,0.609
STU_0320,average,2023-12-10,15,1,1,4.34,48.2,6195.0,7.9,4.4,4.6,1.89,0.3110143501464005,0.496
STU_0119,average,2023-10-14,7,1,1,5.16,44.4,10225.0,7.8,3.8,3.9,,0.4372815638877732,0.531
STU_0453,burnout_risk,2023-11-24,13,0,0,4.83,67.5,4517.0,7.5,1.0,5.9,1.46,0.7369572678731959,0.46
STU_0465,burnout_risk,2023-09-02,1,1,0,5.63,42.2,9426.0,10.0,1.0,5.6,0.0,0.22764792442326828,0.585
STU_0141,struggling,2023-11-17,12,0,1,4.66,54.7,4653.0,10.0,1.0,4.2,0.81,0.511386212057922,0.575
STU_0309,high_performer,2023-12-28,17,0,0,7.17,101.3,5586.0,4.2,5.4,,,0.6600062890773493,0.357
STU_0237,burnout_risk,2023-12-23,17,1,0,,41.1,10608.0,8.2,1.0,4.1,0.0,0.4248850717017863,0.499
STU_0407,struggling,2023-12-06,14,0,1,4.64,43.4,7208.0,10.0,1.0,4.9,,0.2829973403629939,0.616
STU_0489,high_performer,2023-09-28,4,0,0,7.02,98.0,7574.0,3.6,4.7,0.8,1.3,0.40751845942068077,0.323
STU_0259,high_performer,2023-12-06,14,0,1,6.3,67.6,7891.0,6.9,2.4,2.4,1.18,0.6525713161404649,0.365
STU_0237,burnout_risk,2023-12-15,16,0,1,3.25,84.1,4420.0,10.0,1.0,4.2,0.98,0.31441846739804125,0.639
STU_0273,burnout_risk,2023-11-10,11,0,0,5.95,26.8,3242.0,6.9,1.0,3.0,2.5,0.4686780966431804,0.31
STU_0494,average,2023-09-09,2,1,0,6.89,,6563.0,4.1,5.3,1.9,2.5,0.5040597455971235,0.196
STU_0379,average,2023-12-05,14,0,1,5.25,51.3,7006.0,6.8,2.8,3.9,0.0,0.3974136995766482,0.377
STU_0025,average,2023-11-20,12,0,1,,67.8,,6.2,4.9,3.1,0.2,0.46751423063271713,0.441
STU_0395,average,2023-12-23,17,1,0,7.43,67.5,5311.0,6.8,2.7,3.0,1.16,0.39317552338231065,0.348
STU_0454,average,2023-11-17,12,0,1,4.77,59.5,3824.0,6.9,4.9,3.7,0.95,0.38209111980194116,0.462
STU_0040,average,2023-10-09,6,0,0,6.39,67.2,5937.0,3.8,4.2,2.9,1.45,0.3690579551477647,0.396
STU_0162,struggling,2023-11-20,12,0,1,4.18,73.2,4086.0,6.5,1.3,4.0,0.76,0.2823041014858849,0.47
STU_0120,struggling,2023-10-19,7,0,1,4.52,45.9,12539.0,8.0,1.0,4.6,0.01,0.2545082800630808,0.47
STU_0148,high_performer,2023-09-28,4,0,0,9.58,87.5,6562.0,5.2,,3.0,1.67,0.6917076178109149,0.289
STU_0322,average,2023-09-04,1,0,0,7.24,32.2,,4.1,3.6,3.0,0.28,0.39439093697310346,0.341
STU_0132,struggling,2023-09-02,1,1,0,5.55,0.0,,7.0,1.5,4.5,2.29,0.3613236179841678,0.41
STU_0240,average,2023-11-15,11,0,0,6.1,65.4,6642.0,6.7,1.0,4.0,2.11,0.35191740092269125,0.351
STU_0122,high_performer,2023-11-19,12,1,1,5.57,71.0,10299.0,5.3,4.8,2.1,0.31,0.5645401999463209,0.386
STU_0370,average,2023-11-19,12,1,1,4.75,65.0,,9.0,3.7,4.0,0.95,0.4201385137838678,0.614
STU_0230,struggling,2023-09-13,2,0,0,,24.4,6705.0,3.5,2.1,3.9,1.6,0.679066078457273,0.249
STU_0082,average,2023-12-24,17,1,0,5.89,46.3,4087.0,5.5,,3.1,0.78,0.5170159898096518,0.39
STU_0156,struggling,2023-10-06,6,0,0,5.71,34.0,7799.0,7.4,1.3,3.7,0.95,0.37171699509823775,0.523
STU_0488,average,2023-11-03,10,0,0,7.05,71.8,6287.0,5.0,4.1,4.1,,0.42936416500347446,0.34
STU_0262,struggling,2023-11-19,12,1,1,3.85,0.0,6619.0,6.4,,3.7,1.01,0.35096320175892043,0.415
STU_0180,struggling,2023-12-08,15,0,1,4.69,60.1,9788.0,7.7,,2.5,0.85,0.3235265636158191,0.512
STU_0429,average,2023-11-11,11,1,0,6.34,32.8,11487.0,4.1,3.7,1.9,0.27,0.48512803532315957,0.249
